authors,title,abstract,keywords_detected,model_comments,model,general_comment
"Dhara KK,Leavens GT",Weak Behavioral Subtyping for Types with Mutable Objects,"This paper studies the question of when one abstract data type (ADT) is a behavioral subtype of another, and proposes a model-theoretic notion of weak behavioral subtyping. Weak behavioral subtyping permits supertype abstraction to be a sound and modular reasoning principle in a language with mutation and limited forms of aliasing. The necessary restrictions on aliasing can be statically checked. Weak behavioral subtyping allows types with mutable objects to be subtypes of types with immutable objects.",,model and languge for behavioral subtyping with aliasing,INST,
Fleutot F,Encoding an Object Calculus into Interaction Nets,"We propose an encoding of an object calculus into interaction nets in two stages. First, we make the calculus fully explicit, i.e. with explicit substitutions, duplications and erasures. Then, we use this explicit calculus to produce an interaction net encoding of objects.","Object calculus, Interaction nets, Linearisation, Explicit substitution","object calculi,
ecoding of Fisher-Honsell-Mitchell calculus ito interaction nets",interaction nets,
"Chrząszcz J,Schubert A",Function Definitions for Compound Values in Object-Oriented Languages,"Declarative programming features are gradually included in the design of object-oriented languages such as Java and C++. These languages recently adopted anonymous function definitions and offer basic primitives that restrict changes on data, namely final and const keywords, respectively.We propose a type system for an object-oriented Java-like language that facilitates declarative programming while leaving programmers significant freedom in use of imperative features. The system allows one to delimit compound value representations and effectively define values that are common in functional programming languages. Given that, we distinguish methods that work as first-order functions on such values. In this framework functions may modify internal working state that is clearly separated from the global state of the program. The system exploits access modes for method arguments, which describe the way the method operates on the given entity representation.","extensionality, compound data types, functional programming, object-oriented programming, functions",,Jafun,
T. Jensen; D. Le Metayer; T. Thorn,Security and dynamic class loading in Java: a formalisation,"We give a formal specification of the dynamic loading of classes in the Java Virtual Machine (JVM) and of the visibility of members of the loaded classes. This specification is obtained by identifying the part of the run-time state of the JVM that is relevant for dynamic loading and visibility and consists of a set of inference rules defining abstract operations for loading, linking and verification of classes. The formalisation of visibility includes an axiomatisation of the rules for membership of a class under inheritance, and of accessibility of a member in the presence of accessibility modifiers such as private and protected. The contribution of the formalisation is twofold. First, it provides a clear and concise description of the loading process and the rules for member visibility compared to the informal definitions of the Java language and the JVM. Second, it is sufficiently simple to allow calculations of the effects of load operations in the JVM.",,,Jensen/Le Metayer/Thorn model,
He Jifeng; Liu Zhiming; Li Xiaoshan,Towards a refinement calculus for object systems,"This paper presents a refinement calculus for object systems with visibility, dynamic binding and mutual dependency. The intention is to support effective use of a relational model for specifying and reasoning in activities of an object system development process. The semantics framework will define the meaning of the combinators in the exactly same way as their counterparts in the imperative programming languages. This makes the approach more accessible to the users who are already familiar with the algebraic laws and the verification tools developed for these languages. The paper also provides a set of transformation rules in support of object system refinement.",,,Jifeng/Zhiming/Xiaoshan,
"Hofmann M,Pierce BC",Positive Subtyping,"The statementS⩽Tin aλ-calculus with subtyping is traditionally interpreted by a semantic coercion function of type [[S]]→[lsqb;T]] that extracts the “Tpart” of an element ofS. If the subtyping relation is restricted to covariant positions, this interpretation may be enriched to include both the implicit coercion and an overwriting functionput[S, T]∈[[S]]→[[T]]→[[S]] that updates theTpart of an element ofS. We give a realizability model and a sound equational theory for a second-order calculus of positive subtyping. Though weaker than familiar calculi of bounded quantification, positive subtyping retains 1?sufficient power to model objects, encapsulation, and message passing, and inheritance. The equational laws relating the behavior of coercions andputfunctions can be used to prove simple properties of the resulting ?classes in such a way that proofs for superclasses are “inherited” by subclasses.",,,JML,
"Gheyi R,Borba P",Refactoring Alloy Specifications,"This paper proposes modeling laws for Alloy, a formal object-oriented modeling language. These laws are important not only to define the axiomatic semantics of Alloy but also to guide and formalize popular software development practices. In particular, these laws can be used to formaly refactor specifications. As an example, we formally refactor a specification for Java types.","Formal Methods, Model Transformations, Refactoring, Model Checking",,JML,
R. Piri; S. Mirian-Hosseinabadi,An approach for refining JML specification to object oriented code,"JML is a behavioral interface specification language which has Java as its target implementation language. It combines the idea of using Java expressions from Eiffel language with the model-based approach to specify a program. Refinement calculus is a framework to produce executable code from a specification by preserving the correctness of programs. In this paper some constructs of JML concerning object creation, feature call, exceptional behavior and concurrency constructs are studied and some refinement rules are proposed to obtain an object oriented code in Java from a JML specification containing these constructs. The correctness of these rules is proved by weakest precondition predicate transformer. The refinement of usual constructs in JML such as If-statement, Loop and Assignment from previous works such as Z refinement is also demonstrated.",Formal Methods;Specification;Object Oriented;JML;Refinement Rule;Weakest Precondition,,JML based,
"Fournet C,Laneve C,Maranget L,Rémy D",Inheritance in the join calculus,"We design an extension of the join calculus with class-based inheritance. Method calls, locks, and states are handled in a uniform manner, using asynchronous messages. Classes are partial message definitions that can be combined and transformed by means of operators for behavioral and synchronization inheritance. We also give a polymorphic type system that statically enforces basic safety properties. Our language and its type system are compatible with the JoCaml implementation of the join calculus.","Concurrent objects, Inheritance, Type systems, Polymorphism, Safety properties",,"join calculus
JoCaml PL
pi calculus based",
"Millstein T,Frost C,Ryder J,Warth A",Expressive and Modular Predicate Dispatch for Java,"Predicate dispatch is an object-oriented (OO) language mechanism for determining the method implementation to be invoked upon a message send. With predicate dispatch, each method implementation includes a predicate guard specifying the conditions under which the method should be invoked, and logical implication of predicates determines the method overriding relation. Predicate dispatch naturally unifies and generalizes several common forms of dynamic dispatch, including traditional OO dispatch, multimethod dispatch, and functional-style pattern matching. Unfortunately, prior languages supporting predicate dispatch have had several deficiencies that limit the practical utility of this language feature.We describe JPred, a backward-compatible extension to Java supporting predicate dispatch. While prior languages with predicate dispatch have been extensions to toy or nonmainstream languages, we show how predicate dispatch can be naturally added to a traditional OO language. While prior languages with predicate dispatch have required the whole program to be available for typechecking and compilation, JPred retains Java's modular typechecking and compilation strategies. While prior languages with predicate dispatch have included special-purpose algorithms for reasoning about predicates, JPred employs general-purpose, off-the-shelf decision procedures. As a result, JPred's type system is more flexible, allowing several useful programming idioms that are spuriously rejected by those other languages. After describing the JPred language informally, we present an extension to Featherweight Java that formalizes the language and its modular type system, which we have proven sound. Finally, we discuss two case studies that illustrate the practical utility of JPred, including its use in the detection of several errors.","Predicate dispatch, dynamic dispatch, modular typechecking",,"JPred
Featherweight based",
"Anderson C,Giannini P",Type Checking for JavaScript,"JavaScript is a powerful imperative object based language made popular by its use in web pages. It supports flexible program development by allowing dynamic addition of members to objects. Code is dynamically typed: a runtime access to a non-existing member causes an error. We suggest a static type system for JavaScript that will detect such type errors. Therefore, programmers can benefit from the flexible programming style offered by JavaScript and from the safety offered by a static type system. We demonstrate our type system with a formalism of JavaScript, JS0. Our types are structural. Members of an object type are classified into definite and potential. A potential member becomes definite upon assignment. We outline a proof that our type system is sound.","JavaScript, Scripting Languages, Structural Recursive Types, Type Checking",JS0,JS0 PL,
A. Kupusinac; D. Malbaški,An algorithm for the automatic verification of inheritance,"In this paper we introduce the concept of correct inheritance and establish the appropriate formal conditions that must be satisfied by the subclass. Based on that, we develop a formal recursive algorithm for automatic verification of inheritance. The solution is based solely on the first-order predicate logic.",invariant;inheritance;object-oriented programming;program correctness;program verification,,Kupusinac/Malbaski algorithm,more algorithm than model
T. Studer,A Semantics for λ: a Calculus with Overloading and Late‐binding,"Up to now there was no interpretation available for λ‐calculi featuring overloading and late‐binding, although these are two of the main principles of any object‐oriented programming language. In this paper we provide a new semantics for a stratified version of Castagna's λ<sup>{}</sup>, a λ‐calculus combining overloading with late‐binding. The model‐construction is carried out in EETJ + (Tot) + (<inf>N</inf>F‐I), a system of explicit mathematics. We will prove the soundness of our model with respect to subtyping, type‐checking and reductions. Furthermore, we show that our semantics yields a solution to the problem of loss of information in the context of type‐dependent computations.",Explicit mathematics;typed λ;‐;calculus;overloading; late‐; binding; loss of information,,lambda calculus,
M. Wand,Type inference for record concatenation and multiple inheritance,"The author shows that the type inference problem for a lambda calculus with records, including a record concatenation operator, is decidable. He shows that this calculus does not have principal types but does have finite complete sets of type, that is, for any term M in the calculus, there exists an effectively generable finite set of type schemes such that every typing for M is an instance of one of the schemes in the set. The author shows how a simple model of object-oriented programming, including hidden instance variables and multiple inheritance, may be coded in this calculus. The author concludes that type inference is decidable for object-oriented programs, even with multiple inheritance and classes as first-class values.<<ETX>></ETX>",,,lambda calculus,
J. C. Mitchell; F. Honsell; K. Fisher,A lambda calculus of objects and method specialization,"An untyped lambda calculus, extended with object primitives that reflect the capabilities of so-called delegation-based object-oriented languages, is presented. A type inference system allows static detection of errors, such as message not understood, while at the same time allowing the type of an inherited method to be specialized to the type of the inheriting object. Type soundness, in the form of a subject-reduction theorem, is proved, and examples illustrating the expressiveness of the pure calculus are presented.<<ETX>></ETX>",,,lambda calculus,
"Bono V,Salvo I",A CuCh Interpretation of an Object-Oriented Language1 1Partially supported by MURST Cofin '99 TOSCA,"Böhm's CuCh machine extends the pure lambda-calculus with algebraic data types and provides the possibility of defining functions over disjoint sums of algebras. We exploit such natural form of overloading to define a functional interpretation of a simple, but significant fragment of a typical objectoriented classbased language.",,,lambda calculus based,
"Fairweather E,Fernández M",Typed Nominal Rewriting,"Nominal terms extend first-order terms with nominal features and as such constitute a meta-language for reasoning about the named variables of an object language in the presence of meta-level variables. This article introduces a number of type systems for nominal terms of increasing sophistication and demonstrates their application in the areas of rewriting and equational reasoning. Two simple type systems inspired by Church’s simply typed lambda calculus are presented where only well-typed terms are considered to exist, over which α-equivalence is then axiomatised. The first requires atoms to be strictly annotated whilst the second explores the consequences of a more relaxed de Bruijn-style approach in the presence of atom-capturing substitution. A final type system of richer ML-like polymorphic types is then given in the style of Curry, in which elements of the term language are deemed typeable or not only subsequent to the definition of alpha-equivalence. Principal types are shown to exist and an inference algorithm given to compute them. This system is then used to define two presentations of typed nominal rewriting, one more expressive and one more efficient, the latter also giving rise to a notion of typed nominal equational reasoning.","Nominal syntax, nominal rewriting",,"lambda calculus based
Fairweather/Fernandez model",
"Buchlovsky P,Thielecke H",A Type-theoretic Reconstruction of the Visitor Pattern,"In object-oriented languages, the Visitor pattern can be used to traverse tree-like data structures: a visitor object contains some operations, and the data structure objects allow themselves to be traversed by accepting visitors. In the polymorphic lambda calculus (System F), tree-like data structures can be encoded as polymorphic higher-order functions. In this paper, we reconstruct the Visitor pattern from the polymorphic encoding by way of generics in Java. We sketch how the quantified types in the polymorphic encoding can guide reasoning about visitors in general.","Visitor pattern, polymorphic types, object-oriented programming, Generic Java",,"lambda calculus based
Featherweight based",
"Militão F,Aldrich J,Caires L",Substructural Typestates,"Finding simple, yet expressive, verification techniques to reason about both aliasing and mutable state has been a major challenge for static program verification. One such approach, of practical relevance, is centered around a lightweight typing discipline where types denote abstract object states, known as typestates.In this paper, we show how key typestate concepts can be precisely captured by a substructural type-and-effect system, exploiting ideas from linear and separation logic. Building on this foundation, we show how a small set of primitive concepts can be composed to express high-level idioms such as objects with multiple independent state dimensions, dynamic state tests, and behavior-oriented usage protocols that enforce strong information hiding. By exploring the relationship between two mainstream modularity concepts, state abstraction and hiding, we also provide new insights on how they naturally fit together and complement one another.Technically, our results are based on a typed lambda calculus with mutable references, location-dependent types, and second-order polymorphism. The soundness of our type system is shown through progress and preservation theorems. We also describe a prototype implementation of a type checker for our system, which is available on the web and can be used to experiment with the examples in the paper.","linearity, capabilities, typestate, aliasing",,"lambda calculus based
l3 based",
Castagna G,A meta-language for typed object-oriented languages,"In [12] we defined the λ&-calculus, a simple extension of the typed λ-calculus to model typed object-oriented languages. This paper is the continuation or, rather, the companion of [12] since it analyzes the practical counterpart of the theoretical issues introduced there. Indeed, to develop a formal study of type systems for object-oriented languages we define a meta-language based on λ& and we show, by a practical example, how it can be used to prove properties of a language. To this purpose, we define a toy object-oriented language and its type-checking algorithm; then we translate this toy language into our meta-language. The translation gives the semantics of the toy language and a theorem on the translation of well-typed programs proves the correctness of the type-checker of the toy language. As an aside we also illustrate the expressivity of the λ&-based model by showing how to translate existing features like multiple inheritance and multiple dispatch, but also by integrating in the toy language new features directly suggested by the model, such as first-class messages, a generalization of the use of super and the use of explicit coercions. An important novelty with respect to previous systems is that we show how to model multiple dispatch also in the presence of a notion of receiver (i.e. of a privileged argument to which the message is passed), a notion that is absent in languages like CLOS.",,,"lambda calculus based
lambda & calculus",
"Bono V,Bugliesi M",Matching for the lambda calculus of objects,"A relation between recursive object types, called matching, has been proposed [8] to provide an adequate typing of inheritance in class-based languages. This paper investigates the role of this relation in the design of a type system for the Lambda Calculus of Objects [15]. A new type system for this calculus is defined that uses implicit matchbounded quantification over type variables instead of implicit quantification over row schemes — as in [15] — to capture MyType polymorphic types for methods. An operational semantics is defined for the untyped calculus and type soundness for the new system is proved as a corollary of a subject reduction property. A formal analysis of the relative expressive power of the two systems is also carried out, that explains how the row schemes of [15] can be understood in terms of matching, and shows that the new system is as powerful as the original one on derivations of typing judgements for closed objects.","Object calculi, Object extension, specialization, Matching",,"Lambda calculus of objects
lambda calculus based",
Abel A,A Third-Order Representation of the λμ-Calculus,"Higher-order logical frameworks provide a powerful technology to reason about object languages with binders. This will be demonstrated for the case of the λμ-calculus with two different binders which can most elegantly be represented using a third-order constant. Since cases of third- and higher-order encodings are very rare in comparison with those of second order, a second-order representation is given as well and equivalence to the third-order representation is proven formally.",,λμ-calculus,"lambda mu calculus
lambda calculus based",
Padgham L,Defeasible inheritance: A lattice based approach,"We describe here a model for inheritance reasoning based on the notion that a type can be described by two basic sets of characteristics—those that are necessary for the type and those that are typical for the type. All possible combinations of characteristics form a boolean lattice in which type descriptors can be placed relative to one another. Common lattice properties (such as transitivity of ]) combined with a default assumption operation form the basis for a theory of defeasible reasoning in inheritance networks. This paper gives a careful, but informal overview of the model, with several examples and many diagrams. For a more formal treatment, the interested reader is referred to the final chapters of [1]. The model allows a natural representation and a clean reasoning mechanism, at the same time as it adequately captures many of our intuitions regarding conclusions. It is also able to express some interesting nuances which are not available in other theories.",,"lattice
types",lattice based approach,not oop
"Leavens GT,Naumann DA","Behavioral Subtyping, Specification Inheritance, and Modular Reasoning","Verification of a dynamically dispatched method call, E.m(), seems to depend on E’s dynamic type. To avoid case analysis and allow incremental development, object-oriented program verification uses supertype abstraction. In other words, one reasons about E.m() using m’s specification for E’s static type. Supertype abstraction is valid when each subtype in the program is a behavioral subtype. This article semantically formalizes supertype abstraction and behavioral subtyping for a Java-like sequential language with mutation and proves that behavioral subtyping is both necessary and sufficient for the validity of supertype abstraction. Specification inheritance, as in JML, is also formalized and proved to entail behavioral subtyping.","specification inheritance, verification, predicate transformer, dynamic dispatch, refinement, Eiffel language, supertype abstraction, JML language, Behavioral subtyping, state transformer, modularity, specification",,Leavens/Nauman model and pl,
"Buchanan M,Britton C",Formal specification and object-oriented design,"In recent years, object-oriented design and formal specification languages have become increasingly important in the development of software systems. In this paper we use the formal specification languages OBJ1 and OBJ3 to investigate the extent to which they support object-oriented design in general and inheritance in particular.","Formal Specification, Inheritance, OBJ",,LePUS FL,
Z. Luo,Coercive subtyping,"We propose and study coercive subtyping, a formal extension with subtyping of dependent type theories such as Martin-Löf's type theory and the type theory UTT. In this approach, subtyping with specified implicit coercions is treated as a feature at the level of the logical framework; in particular, the meaning of an object being in a supertype is given by coercive definition rules for the definitional equality. This provides a conceptually simple and uniform framework to understand subtyping and inheritance relations in type thoeries with sophisticated type structures such as inductive types and universes. The use of coercive subtyping in formal development and in reasoning about subsets of objects is discussed in the context of computer-assisted formal reasoning.",Type theory;subypting;coercion;formal reasoning;logical framework,"dependent types
Marti-Lof
UUT","LF
logical framework",
"Levine KM,Masters P",SYMBOLIC INFORMATION PROCESSING,"Publisher Summary Symbolic information processing is born of looking at problems in an algebraic, rather than arithmetic, manner. The process of abstraction, from object to symbol, underlies every theoretical model of computation. The Turing machine paradigm is not the only one. Other equally valid formalisms exist; some exhibit more algebraic behavior than others. Although literally isomorphic to Turing's machine, Church's λ calculus is aesthetically of a different nature. The aesthetics make a difference, because the human mind can comprehend very little of the content of a large computer program. This chapter presents the analysis of an algorithm that differentiates polynomials. The traditional solution of the business data processing problem has been the human wave handwritten COBOL program. The economic considerations dictate that in these times of ever-increasing hardware capability per dollar, a more automated solution be found. A solution can be found in the form of a somewhat smart computer program—LINDA.",,"abstract machines
lambda-calculus
cobol
linda",Linda,no source
M. Bugliesi; G. Delzanno; L. Liquori; M. Martelli,Object calculi in linear logic,"Several calculi of objects have been studied in the recent literature, that support the central features of object-based languages: messages, inheritance, dynamic dispatch, object update and object-extension. We show that a complete semantic account of these features may be given in a fragment of higher-order linear logic.",Object calculi;linear logic;logic programming,O_o,linear logic,
M. Maher,A Linear Logic Calculus of Objects,"This paper presents a linear logic programming language, called O⊸ that gives a complete account of an object-oriented calculus with inheritance and override. This language is best understood as a. logical counterpart the object and record extensions of functional programming that have recently been proposed in the literature. From these proposals, O⊸ inherits the representation of objects as composite data structures, with attribute and method fields, as well as their interpretation as first-class values. O⊸ also gives a direct logical modeling of the self-application semantics of method invocation that justifies the view of objects as elements of recursive types. As such, the design of O⊸ appears interesting, in perspective, as a basis for developing flexible and powerful type systems for logical object-based languages.",,O_o,linear logic,
Zhi Jin,An order-based composition semantics for the inheritance in logic-based object-oriented paradigm,"Inheritance is an important concept in the object-oriented paradigm, but its semantics is far from being well-defined. This paper focuses on inheritance with overriding. First, an elegant approach is proposed for combining the logical style with the object-oriented paradigm. In this language model, inheritance is modelled by an order-based composition of the logic objects. Overriding is given a formal treatment by introducing the so-called hiding operator. Finally, a corresponding model composition with hiding is also presented.",,Lobject,"Lobject Model
algebraic language",
"Luo C,Qin S",Separation Logic for Multiple Inheritance,"As an extension to Floyd-Hoare logic, separation logic has been used to facilitate reasoning about imperative programs manipulating shared mutable data structures. Recently, it has also been extended to support modular reasoning in Java-like object-oriented languages where only single inheritance is allowed. In this paper we propose an extension of separation logic to support also the reasoning for multiple inheritance in C++ -like languages. To cater for multiple inheritance, we modified the standard storage model for separation logic in a way that the correct reference to a field or a method can be easily determined. On top of this storage model, a set of proof rules are proposed. Our verification system also provides basic support for behavioral subtyping.","Multiple Inheritance, Separation Logic, Verification",,"Luo/Qin model
separation logic based
C++ based",
"Maidl AM,Carvilhe C,Musicante MA",Maude Object-Oriented Action Tool,"Object-Oriented Action Semantics (OOAS) incorporates object-oriented concepts to the Action Semantics formalism. Its main goal is to obtain more readable and reusable semantics specifications. Moreover, it supports syntax-independent specifications, due to the way classes are written. Maude Object-Oriented Action Tool (MOOAT) is an executable environment for Object-Oriented Action Semantics implemented as a conservative extension of Full Maude and Maude MSOS Tool (MMT). The Modular SOS of Action Notation has been implemented using MMT transitions and Full Maude has been used to implement the Classes Notation. The syntax created by MOOAT is fairly similar to the original Object-Oriented Action Semantics syntax. In addition to it, the tool combines the modularity aspects observed in the object-oriented approach with the efficient execution and analysis of the Maude system. We use MOOAT to describe syntax-independent specifications of programming languages. In this way, we show how Constructive Object-Oriented Action Semantics (COOAS) may be achieved as a combination between Object-Oriented Action Semantics and Constructive Action Semantics (CAS) using MOOAT, in order to increase the modularity aspects observed in the object-oriented formalism. This paper reports on the development of Maude Object-Oriented Action Tool and its application to the formal specification of programming languages.","Constructive Action Semantics, Formal Semantics, Maude, Modular Structural Operational Semantics, Object-Oriented Action Semantics",,Maude,
"Clavel M,Eker S,Lincoln P,Meseguer J",Principles of Maude,"This paper introduces the basic concepts of the rewriting logic language Maude and discusses its implementation. Maude is a wide-spectrum language supporting formal specification, rapid prototyping, and parallel programming. Maude's rewriting logic paradigm includes the functional and object-oriented paradigms as sublanguages. The fact that rewriting logic is reflective leads to novel metaprogramming capabilities that can greatly increase software reusability and adaptability. Control of the rewriting computation is achieved through internal strategy languages defined inside the logic. Maude's rewrite engine is designed with the explicit goal of being highly extensible and of supporting rapid prototyping and formal methods applications, but its semi-compilation techniques allow it to meet those goals with good performance.",,Maude,Maude Prover,
S. Denier; Y. Guéhéneuc,"Mendel: A Model, Metrics, and Rules to Understand Class Hierarchies","Inheritance is an important mechanism when developing object-oriented programs with class-based programming languages: it enables subtyping, polymorphism, and code reuse. Inheritance is also known as a difficult feature to grasp and to use correctly because of its many purposes. We propose a model of inheritance to help understand class hierarchies of class-based object-oriented programs. We define metrics and rules to highlight interesting classes and behaviours with respect to inheritance. Thus, we provide the programmer with insight on how inheritance is used in a program. We illustrate our approach on JHOTDraw and validate it further on three other programs: ArgoUML, Azureus, and Log4J. We also show that our model can describe existing rules, such as micro patterns.",object oriented;inheritance;class hierarchy;reverse engineering;metrics;comprehension,Mendel,Mendel Model,
I. Merlo; E. Bertino; E. Ferrari; G. Guerrini,A temporal object-oriented data model with multiple granularities,"We investigate some issues arising from the introduction of multiple temporal granularities in an object-oriented data model. Although issues concerning temporal granularities have been investigated in the context of temporal relational database systems, no comparable amount of work has been done in the context of object-oriented models. Moreover, the main drawback of the existing proposals is the lack of a formal basis-which we believe is essential to manage the inherent complexity of the object-oriented data model. We provide a complete temporal object-oriented type system supporting multiple temporal granularities and we formally define the set of legal values for our type system. We then address issues related to inheritance, type refinement and substitutability.",,,Merlo/Bertino/Ferrari/Guerrini temporal type system,temporal
"Middelkoop R,Huizing C,Kuiper R,Luit EJ",Invariants for Non-Hierarchical Object Structures,"We present a Hoare-style specification and verification approach for invariants in sequential OO programs. It allows invariants over non-hierarchical object structures, in which update patterns that span several objects and methods occur frequently. This gives rise to invalidating and subsequent re-establishing of invariants in a way that compromises standard data induction, which assumes invariants hold when a method is called. We provide specification constructs (inc and coop) that identify objects and methods involved in such patterns, allowing a refined form of data induction. The approach now handles practical designs, as illustrated by a specification of the Observer Pattern.","Invariants, Formal specification, Program verification, Object-oriented programs",,Middelkoop/Huizing/Kuiper/Luit/ model,
Kuno Y,Misty: An Object-Oriented Programming Language with Multiple Inheritance and Strict Type-Checking,"Summary A strong type-checking facility is indispensable for an object-oriented programming language to be usable in large-scale software development. Misty is an object-oriented programming language with both multiple inheritance and strict type-checking facilities. Type-checking is applied not according to subtype relations between types, but according to strict equality between types. This principle differs markedly from that of other object-oriented programming languages with “strong” type-checking facilities, which incorporate subtype relations, and Misty's type-checking facility therefore termed a “strict” one. In spite of this strictness, Misty retains most of the flexibility seen in object-oriented programming languages without compile-time type checking. Moreover, experience of programming in Misty has revealed that program design and development using a class specification hierarchy along with a compiler to check its consistency will be a valuable and powerful tool for programming-in-the-large.",,,"Misty
PL",
Milner R,A theory of type polymorphism in programming,"The aim of this work is largely a practical one. A widely employed style of programming, particularly in structure-processing languages which impose no discipline of types, entails defining procedures which work well on objects of a wide variety. We present a formal type discipline for such polymorphic procedures in the context of a simple programming language, and a compile time type-checking algorithm W which enforces the discipline. A Semantic Soundness Theorem (based on a formal semantics for the language) states that well-type programs cannot “go wrong” and a Syntactic Soundness Theorem states that if W accepts a program then it is well typed. We also discuss extending these results to richer languages; a type-checking algorithm based on W is in fact already implemented and working, for the metalanguage ML in the Edinburgh LCF system.",,"polymorhic,
type discipline","ML
metalanguage",
"Fisher K,Reppy J",Inheritance-Based Subtyping,"Classes play a dual role in mainstream statically typed object-oriented languages, serving as both object generators and object types. In such languages, inheritance implies subtyping. In contrast, the theoretical language community has viewed this linkage as a mistake and has focused on subtyping relationships determined by the structure of object types, without regard to their underlying implementations. In this paper, we explore why inheritance-based subtyping relations are useful, and we describe two different approaches to extending the MOBY programming language with inheritance-based subtyping relations. In addition, we present a typed object calculus that supports both structural and inheritance-based subtyping, and which provides a formal accounting of our extensions to MOBY.",,,Moby PL,
P. A. Patsouris,A formal versioning approach for distributed objectbases,"We initially provide, in summary, a formal object-oriented model for objectbases considering (i) simple objects (classes and their instances), (ii) 2-objects (2-classes and their 2-instances) where each 2-object encapsulates a two-level-hierarchy of objects, and (iii) complex objects defined inductively from the 2-objects through a composition operation. The inheritance concept is replaced by that of a ""link"" between two objects. Based on the above model, we introduce and develop a formal versioning approach by defining the concepts of ""core data"" and ""core behaviour"" that together are expressed through the term ""compatibility"" among objects. We extend the ""versioning"" notion to encompass not only the instances but also the classes, and 2-classes of our formal object-oriented model and include the different ""views"" (modelled as objects) of an entity within the same versioning framework. We further refer to the appropriate versioning structures. We then develop a distribution strategy encompassing 2-objects and complex objects, as well as their versions, and stress the advantages (both at the design and distribution level) of this approach through an example.",,objectbases,Model,
"Buro S,Crole R,Mastroeni I",Equational Logic and Categorical Semantics for Multi-Languages,"Programming language interoperability is the capability of two programming languages to interact as parts of a single system. Each language may be optimized for specific tasks, and a programmer can take advantage of this. HTML, CSS, and JavaScript yield a form of interoperability, working in conjunction to render webpages. Some object oriented languages have interoperability via a virtual machine host (.NET CLI compliant languages in the Common Language Runtime, and JVM compliant languages in the Java Virtual Machine). A high-level language can interact with a lower level one (Apple's Swift and Objective-C). While there has been some research exploring the interoperability mechanisms (Section 1) there is little development of theoretical foundations. This paper presents an approach to interoperability based around theories of equational logic, and categorical semantics. We give ways in which two languages can be blended, and interoperability reasoned about using equations over the blended language. Formally, multi-language equational logic is defined within which one may deduce valid equations starting from a collection of axioms that postulate properties of the combined language. Thus we have the notion of a multi-language theory and much of the paper is devoted to exploring the properties of these theories. This is accomplished by way of category theory, giving us a very general and flexible semantics, and hence a nice collection of models. Classifying categories are constructed, and hence equational theories furnish each categorical model with an internal language; from this we can also establish soundness and completeness. A set-theoretic semantics follows as an instance, itself sound and complete. The categorical semantics is based on some pre-existing research, but we give a presentation that we feel is easier and simpler to work with, improves and mildly extends current research, and in particular is well suited to computer scientists. Throughout the paper we prove some interesting properties of the new semantic machinery. We provide a small running example throughout the paper to illustrate our ideas, and a more complex example in conclusion.","categorical logic, equational logic, interoperability, multi-languages, order-sorted signatures and theories, programming languages, subsort polymorphism",categorical semantics,"model
cateforical semantics for multilagugaes",
"Djang RW,Burnett MM,Chen RD",Static Type Inference for a First-Order Declarative Visual Programming Language with Inheritance,"The early detection of type errors is a well-known benefit of static typing, but until recent years, this benefit usually has come at the cost of requiring the programmer to explicitly declare the type of every object in a program. Since many visual programming languages (VPLs), especially those VPLs intended for end users, are designed to eliminate such programming mechanisms, most VPLs have been implemented with dynamic typing, thereby sacrificing early type error feedback and other benefits of static typing. One potential solution for this dilemma is static type inference, but unfortunately, the types inferred under previous approaches have been notoriously difficult to understand, even for professional programmers. Compounding this problem is the fact that when support for inheritance is added to such type inference systems, explicit type declarations have re-emerged. In this paper, we present a model of types that supports static type inference for a declarative VPL that includes inheritance. Our model addresses the problems presented in the previous paragraph. We present the formal model of our type system, and show that the model is not only sound with respect to type safety, but that it also has sufficient power to support traditional and non-traditional forms of inheritance, and further that it requires the user to understand only a small vocabulary of types, a feature important in addressing the understandability problem in end-user VPLs.",,static type inference foe visual programming language,"model 
for Visual Programming Laguages",
"Broman D,Siek JG",Gradually Typed Symbolic Expressions,"Embedding a domain-specific language (DSL) in a general purpose host language is an efficient way to develop a new DSL. Various kinds of languages and paradigms can be used as host languages, including object-oriented, functional, statically typed, and dynamically typed variants, all having their pros and cons. For deep embedding, statically typed languages enable early checking and potentially good DSL error messages, instead of reporting runtime errors. Dynamically typed languages, on the other hand, enable flexible transformations, thus avoiding extensive boilerplate code. In this paper, we introduce the concept of gradually typed symbolic expressions that mix static and dynamic typing for symbolic data. The key idea is to combine the strengths of dynamic and static typing in the context of deep embedding of DSLs. We define a gradually typed calculus λ, formalize its type system and dynamic semantics, and prove type safety. We introduce a host language called Modelyze that is based on λ, and evaluate the approach by embedding a series of equation-based domain-specific modeling languages, all within the domain of physical modeling and simulation.","DSL, Type systems, Symbolic expressions",,"Modelyze based
grafually typing based
lambda calculus based",
"Amrani M,Schobbens PY",Formal Analysis of Object-Oriented Mograms,"A mogram designates a software language implemented in either a programming or a modelling language. Object-Oriented mograms share many common language features, but also have specificities related to inheritance, collection values, opposite and contained references, or overloading. We propose a mathematical framework that captures the semantics of such mograms with a precise characterisation of the variation points. We implemented a prototype tool that enables formal analysis in a uniform way.","Formal Verification, OO Languages, Semantics",,mogram based,
