Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Edition,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,,,,,,,,,,,,,,,,,,,
Journal Article,"Mironov A,Morozov A,Morozov A,Sleptsov A",,Gaussian distribution of LMOV numbers,Nuclear Physics B,2017,924,,1-32,,,,,2017,,0550-3213,https://www.sciencedirect.com/science/article/pii/S0550321317302791;http://dx.doi.org/10.1016/j.nuclphysb.2017.08.016,10.1016/j.nuclphysb.2017.08.016,"Recent advances in knot polynomial calculus allowed us to obtain a huge variety of LMOV integers counting degeneracy of the BPS spectrum of topological theories on the resolved conifold and appearing in the genus expansion of the plethystic logarithm of the Ooguri–Vafa partition functions. Already the very first look at this data reveals that the LMOV numbers are randomly distributed in genus (!) and are very well parameterized by just three parameters depending on the representation, an integer and the knot. We present an accurate formulation and evidence in support of this new puzzling observation about the old puzzling quantities. It probably implies that the BPS states, counted by the LMOV numbers can actually be composites made from some still more elementary objects.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Martínez-Planell R,Trigueros M",,Students’ understanding of Riemann sums for integrals of functions of two variables,The Journal of Mathematical Behavior,2020,59,,100791,,,,,2020,,0732-3123,https://www.sciencedirect.com/science/article/pii/S0732312320300559;http://dx.doi.org/10.1016/j.jmathb.2020.100791,10.1016/j.jmathb.2020.100791,"In this paper we report on a study of how students understand some of the most fundamental ideas of Riemann integrals of functions of two variables. We apply Action-Process-Object-Schema (APOS) Theory to pose a preliminary genetic decomposition (GD), conjecturing mental constructions that students would need to relate Riemann sums to integrals of functions of two variables over rectangles. The genetic decomposition is informed by the researchers’ classroom experience, findings of a previous study that applied semiotic representation theory, and by a study on integrals of functions of one variable. We pay particular attention to the case of an integral of a continuous function over a rectangle and the simplest partition possible, that consisting only of the rectangle itself. We then explore students’ geometrical understanding of the relation between the single termfa,bΔxΔy, where a,b is a point on the rectangle, and the double integral over the rectangle. We tested the GD by performing student interviews with 10 students who had just finished taking a lecture-based multivariable calculus course. The findings underscore the importance of each of the mental constructions described in the genetic decomposition and suggests that students have difficulty in some mental constructions that may commonly be assumed to be obvious during instruction.","Riemann sums, Calculus, APOS, Double integrals, Function of two variables, Genetic decomposition",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Lin S,Tsai YS,Wang PY",,Explicit solutions of a certain class of associated Legendre equations by means of fractional calculus,Applied Mathematics and Computation,2007,187,1,280-289,,,,,2007,,0096-3003,https://www.sciencedirect.com/science/article/pii/S0096300306011623;http://dx.doi.org/10.1016/j.amc.2006.08.152,10.1016/j.amc.2006.08.152,"In recent years, many authors have demonstrated the usefulness of fractional calculus in the derivation of particular solutions of a number of linear ordinary and partial differential equations of the second and higher orders. The main object of the present paper is to show how several recent contributions on this subject, involving a certain class of associated Legendre equations, can be obtained (in a unified manner) by suitably applying some general theorems on particular solutions of a certain family of linear ordinary fractional differintegral equations.","Fractional calculus, Legendre equations, Generalized Leibniz rule, Analytic functions, Differintegral equations, Ordinary and partial differential equations, Index law, Linearity property, Principal value, Bessel’s equation, Power-series solutions, Legendre polynomials","Proceedings of the International Symposium on Analytic Function Theory, Fractional Calculus and Their Applications in Honour of Professor H.M. Srivastava on his Sixty-Fifth Birth Anniversary",,,,,,,,,,,,,,,,,,,,
Journal Article,"Widynski N,Dubuisson S,Bloch I",,Fuzzy spatial constraints and ranked partitioned sampling approach for multiple object tracking,Computer Vision and Image Understanding,2012,116,10,1076-1094,,,,,2012,,1077-3142,https://www.sciencedirect.com/science/article/pii/S1077314212001038;http://dx.doi.org/10.1016/j.cviu.2012.07.002,10.1016/j.cviu.2012.07.002,"While particle filters are now widely used for object tracking in videos, the case of multiple object tracking still raises a number of issues. Among them, a first, and very important, problem concerns the exponential increase of the number of particles with the number of objects to be tracked, that can make some practical applications intractable. To achieve good tracking performances, we propose to use a Partitioned Sampling method in the estimation process with an additional feature about the ordering sequence in which the objects are processed. We call it Ranked Partitioned Sampling, where the optimal order in which objects should be processed and tracked is estimated jointly with the object state. Another essential point concerns the modeling of possible interactions between objects. As another contribution, we propose to represent these interactions within a formal framework relying on fuzzy sets theory. This allows us to easily model spatial constraints between objects, in a general and formal way. The association of these two contributions was tested on typical videos exhibiting difficult situations such as partial or total occlusions, and appearance or disappearance of objects. We show the benefit of using conjointly these two contributions, in comparison to classical approaches, through multiple object tracking and articulated object tracking experiments on real video sequences. The results show that our approach provides less tracking errors than those obtained with the classical Partitioned Sampling method, without the need for increasing the number of particles.","Multiple object tracking, Particle filter, Fuzzy spatial constraints, Partitioned Sampling",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Lopes AM,Tenreiro Machado JA",,Multidimensional scaling analysis of generalized mean discrete-time fractional order controllers,Communications in Nonlinear Science and Numerical Simulation,2021,95,,105657,,,,,2021,,1007-5704,https://www.sciencedirect.com/science/article/pii/S1007570420304871;http://dx.doi.org/10.1016/j.cnsns.2020.105657,10.1016/j.cnsns.2020.105657,The dynamics of discrete-time fractional order control systems depends on the method used for implementing the fractional derivatives and integrals. A reliable numerical approach adopts the generalized mean of the continuous to discrete conversion. The extra freedom provided by the proposed method must be carefully optimized by the user. This paper investigates the use of multidimensional scaling for evaluating and visualizing the performance of generalized mean discrete-time fractional controllers. Two alternative performance indices are adopted for comparing the time and frequency responses of the controlled system when adopting different combinations of the parameters. Numerical experiments with a fractional PID and two linear plants demonstrate the feasibility of the method for comparing and visualizing multiple test cases.,"Fractional calculus, Fractional derivative, PID control, Numerical methods",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Chen MP,Srivastava HM",,Fractional calculus operators and their applications involving power functions and summation of series,Applied Mathematics and Computation,1997,81,2,287-304,,,,,1997,,0096-3003,https://www.sciencedirect.com/science/article/pii/S009630039500310X;http://dx.doi.org/10.1016/S0096-3003(95)00310-X,10.1016/S0096-3003(95)00310-X,"Many earlier works on the subject of fractional calculus contain interesting accounts of the theory and applications of fractional calculus operators in a number of areas of mathematical analysis (such as ordinary and partial differential equations, integral equations, summation of series, etc.). The main object of this paper is to examine rather systematically (and extensively) some of the most recent contributions on the applications of fractional calculus operators involving power functions and in finding the sums of several interesting families of infinite series. Various other classes of infinite sums found in the mathematical literature by these (or other) means, and their validity or hitherto unnoticed connections with some known results, are also considered.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Csaba ölveczky P,Meseguer J",,"Real-Time Maude: A Tool for Simulating and Analyzing Real-Time and Hybrid Systems1 1Supported by DARPA through Rome Laboratories Contract F30602-C-0312, by Office of Naval Research Contract N00014-99-C-0198, and by National Science Foundation Grant CCR-9900334",Electronic Notes in Theoretical Computer Science,2000,36,,361-382,,,,,2000,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066105801343;http://dx.doi.org/10.1016/S1571-0661(05)80134-3,10.1016/S1571-0661(05)80134-3,"Rewriting logic can be used to specify a wide range of real-time and hybrid systems under a variety of time models, including discrete and dense time models. The Real-Time Maude tool, built on top of the Maude rewriting logic language, supports specification of real-time and hybrid systems in timed modules and timed object-oriented modules, which are transformed into equivalent Maude modules. The tool then supports execution of such specifications in several rewrite modes, corresponding to different criteria for advancing time. Besides system simulation by default execution in a given rewrite mode, the tool has a library of execution strategies and commands that can search all the possible computations from an initial state, within given rewrite mode and search bounds, to partially model check desired properties, including properties expressible in a class of linear time timed temporal logic formulas. The paper discusses the tool's theoretical basis, its specification language, and its library of evaluation and search strategies. The user can add new formal analysis strategies to the library, as illustrated by a scheduling case study. We also summarize our experience with applications and our future plans.",,The 3rd International Workshop on Rewriting Logic and its Applications,,,,,,,,,,,,,,,,,,,,
Journal Article,"Andrews GE,Paule P,Riese A",,MacMahon’s Partition Analysis: The Omega Package,European Journal of Combinatorics,2001,22,7,887-904,,,,,2001,,0195-6698,https://www.sciencedirect.com/science/article/pii/S019566980190527X;http://dx.doi.org/10.1006/eujc.2001.0527,10.1006/eujc.2001.0527,"In his famous book ‘Combinatory Analysis’ MacMahon introduced Partition Analysis (‘Omega Calculus’) as a computational method for solving problems in connection with linear homogeneous diophantine inequalities and equations. The object of this paper is to show that partition analysis is ideally suited for being implemented in computer algebra. To this end we have developed the computer algebra packageOmega. In addition to an introduction to basic facts of ‘Omega Calculus’, we present a number of applications that illustrate the usage of the package.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Duce DA,Duke DJ,ten Hagen PJ,Herman I,Reynolds GJ",,Formal methods in the development of premo,Computer Standards & Interfaces,1995,17,5,491-509,,,,,1995,,0920-5489,https://www.sciencedirect.com/science/article/pii/092054899500023N;http://dx.doi.org/10.1016/0920-5489(95)00023-N,10.1016/0920-5489(95)00023-N,"ISO/IEC JTC1/SC24 are developing a standard for the presentation of multimedia objects, called Premo (Presentation Environments for Multimedia Objects). Premo is a multipart standard, the most well-defined parts of which, at the time of writing, are at the stage of Committee Draft. This paper describes how formal description techniques are being used in the development of the Premo standard, shadowing the development of the standard itself. The approach taken uses a combination of Z and Object-Z. The motivation and merits of this approach are discussed, and illustrated with a description of some fundamental concepts of the Premo object model.",", Formal methods, Multimedia, Object models, Active objects, Z, Object-Z",Formal Description Techniques,,,,,,,,,,,,,,,,,,,,
Journal Article,"Flajolet P,Zimmermann P,Van Cutsem B",,A calculus for the random generation of labelled combinatorial structures,Theoretical Computer Science,1994,132,1,1-35,,,,,1994,,0304-3975,https://www.sciencedirect.com/science/article/pii/0304397594902267;http://dx.doi.org/10.1016/0304-3975(94)90226-7,10.1016/0304-3975(94)90226-7,"A systematic approach to the random generation of labelled combinatorial objects is presented. It applies to structures that are decomposable, i.e., formally specifiable by grammars involving set, sequence, and cycle constructions. A general strategy is developed for solving the random generation problem with two closely related types of methods: for structures of size n, the boustrophedonic algorithms exhibit a worst-case behaviour of the form O(n log n); the sequential algorithms have worst case O(n2), while offering good potential for optimizations in the average case. The complexity model is in terms of arithmetic operations and both methods appeal to precomputed numerical table of linear size that can be computed in time O(n2). A companion calculus permits systematically to compute the average case cost of the sequential generation algorithm associated to a given specification. Using optimizations dictated by the cost calculus, several random generation algorithms of the sequential type are developed; most of them have expected complexity 1/2n log n, and are thus only slightly superlinear. The approach is exemplified by the random generation of a number of classical combinatorial structures including Cayley trees, hierarchies, the cycle decomposition of permutations, binary trees, functional graphs, surjections, and set partitions.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Castellani I,Palamidessi C",,"Preface: Volume 16, Issue 2",Electronic Notes in Theoretical Computer Science,1998,16,2,171-172,,,,,1998,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066105805663;http://dx.doi.org/10.1016/S1571-0661(05)80566-3,10.1016/S1571-0661(05)80566-3,"This volume contains the Proceedings of the fifth EXPRESS workshop. The workshop was held in Nice, France, on 7 September 1998, as a satellite event to CONCUR '98. The EXPRESS workshops aim at bringing together researchers interested in the relations between various formal systems, particularly in the field of Concurrency. More specifically, they focus on the comparison between programming concepts (such as concurrent, functional, imperative, logic and object-oriented programming) and between mathematical models of computation (such as process algebras, Petri nets, event structures, modal logics, rewrite systems etc.) on the basis of their relative expressive power. These workshops were originally held as meetings of the HCM project EXPRESS, which has been active with the same focus from January 1994 till December 1997. The first three workshops were held respectively in Amsterdam (1994, chaired by Frits Vaandrager), Tarquinia (1995, chaired by Rocco de Nicola), and Dagstuhl (1996, chaired by Ursula Goltz, Frits Vaandrager and Rocco de Nicola). The fourth workshop, which took place in Santa Margherita Ligure in 1997 and was co-chaired by Catuscia Palamidessi and Joachim Parrow, was organized as a conference with a call for papers and a significant attendance from outside the project. The fifth workshop, EXPRESS '98, was again organised as a (one day) conference, and was also meant as an occasion to discuss on the inheritance of the Express project and possible directions of future research. We had 17 submissions, out of which we selected 7 for inclusion in these proceedings (41%). Additionally, this collection contains the contribution of the two invited speakers, Matthew Hennessy (University of Sussex, UK) and P.S. Thiagarajan (SPIC Mathematical Institute, IN). We would like to thank the authors of the submitted papers, the invited speakers, and the members of the program committee for their contribution to both the meeting and this volume. We also would like to thank INRIA for their help with the local organization, and Michael Mislove for his help with the editing of the proceedings. EXPRESS '98 Programme CommitteeIlaria Castellani (co-chair, INRIA)Catuscia Palamidessi (co-chair, PSU)Luca Aceto (Aalborg Univ.)Roberto Amadio (Univ. Marseille)Eike Best (Oldenburg Univ.)Steve Brookes (CMU)Philippe Darondeau (INRIA)Rocco De Nicola (Univ. Firenze)Jan Willem Klop (CWI)Patrick Lincoln (SRI)Frits Vaandrager (Nijmegen Univ.)Glynn Winskel (Aarhus Univ.) 17 October 1998, Ilaria Castellani and Catuscia Palamidessi",,"EXPRESS '98, Fifth International Workshop on Expressiveness in Concurrency (Satellite Workshop of CONCUR '98)",,,,,,,,,,,,,,,,,,,,
Journal Article,"Salinas de Romero S,Srivastava HM",,Some applications of fractional calculus involving summation of infinite series,Applied Mathematics and Computation,1998,90,2,129-142,,,,,1998,,0096-3003,https://www.sciencedirect.com/science/article/pii/S0096300397003949;http://dx.doi.org/10.1016/S0096-3003(97)00394-9,10.1016/S0096-3003(97)00394-9,"A significantly large number of earlier works on the subject of fractional calculus give interesting accounts of the theory and applications of fractional calculus operators in many different areas of mathematical analysis (such as ordinary and partial differential equations, integral equations, special functions, summation of series, et cetera). The main object of the present paper is to examine rather systematically (and extensively) some of the most recent contributions on the applications of fractional calculus operators in finding the sums of an interesting family of infinite series. Various further generalizations, relevant to the present investigation, are also given.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Valette E,Demesure G,El-Haouzi HB,Pannequin R",,Formal and modelling frameworks for Social Holonic Control Architectures,Computers in Industry,2021,132,,103521,,,,,2021,,0166-3615,https://www.sciencedirect.com/science/article/pii/S0166361521001287;http://dx.doi.org/10.1016/j.compind.2021.103521,10.1016/j.compind.2021.103521,"For decades now, manufacturing systems have grown in size and complexity. Between new consumption habits and hypercompetitive markets, manufacturing systems have started a race towards the industry of the future. Still, many technological and societal issues are paving their way: connectivity, resilience and human integration being among the most critical ones. The idea of this paper is to bring a new framework to help answering these issues by bringing resilience to systems, improving their interoperability, enhancing Data acquisition, transmission & processing, enabling the establishment hierarchical levels among agents, or by facilitating the system acceptance by human agents and the human integration within the system. To this end, this article brings a new formal framework for Social Holonic Control Architectures, based on an analysis of the existing literature. An UML-based modelling framework will equally be proposed to ease understanding and implementation of this new Social Holonic Control Architecture, illustrated by a concrete application on a small-scale Multi-Agent System.","Social holonic control architectures, Industry 4.0, Social relationships, Multi-agent system, UML modelling framework",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Xiu L,Wu J,Liu Z,Ma J,Fan X,Ji H",,Welding distortion control technology in CFETR vacuum vessel,Fusion Engineering and Design,2020,160,,111851,,,,,2020,,0920-3796,https://www.sciencedirect.com/science/article/pii/S0920379620303999;http://dx.doi.org/10.1016/j.fusengdes.2020.111851,10.1016/j.fusengdes.2020.111851,"The vacuum vessel is very important component for China Fusion Engineering Test Reactor (CFETR), it is a double-layer shell structure with complex contour. The vacuum vessel is mainly formed by welding, which requires high precision of forming dimension. Welding distortion brings difficulties to the forming dimension control of vacuum vessel, so it is necessary to control the welding distortion in the progress of vacuum vessel welding. In this paper, many kinds of welding distortion control methods used in CFETR vacuum vessel manufacturing are introduced, and the application objects and key technology of each welding distortion control method are given. To accumulate experience for the formal CFETR vacuum vessel construction, and provide reference for other similar engineering construction.","CFETR, Vacuum vessel, Welding distortion, Inherent strain",,,,,,,,,,,,,,,,,,,,,
Book Chapter,"Sips HJ,van Reeuwijk K","Joubert GR,Nagel WE,Peters FJ,Walter WV",An integrated annotation and compilation framework for task and data parallel programming in Java,,2004,13,,111-118,,North-Holland,,Parallel Computing,2004,,0927-5452,https://www.sciencedirect.com/science/article/pii/S0927545204800170;http://dx.doi.org/10.1016/S0927-5452(04)80017-0,10.1016/S0927-5452(04)80017-0,"Publisher Summary This chapter discusses a unified model to describe data and task parallelism in an object oriented language. The approach allows compile-time and run-time techniques to be combined. Statements, expressions, types, declarations, formal parameters, and the entire program can be annotated with pragmas. Spar provides a general annotation mechanism. An annotation consists of a list of pragmas. These pragmas allow the user to give the compiler information about the program, and give hints for efficient compilation. By convention, a pragma does not influence the behavior of a program; it only improves the efficiency of the program in terms of execution time, memory use, or any other measure. To help the compiler with the parallelization of a program, the user may annotate a program with pragmas to specify the distribution of data, or the place where a block of code is executed. Titanium provides vectors, multidimensional arrays, iteration ranges, and a foreach statement comparable to those in Spar. In most cases, the Spar version of these constructs is more general. They explicitly state that their foreach is not intended for parallelization. Titanium supports iterations over arbitrary sets; moreover these iteration ranges are “first-class citizens”, they can be handled and modified independent of any loop statements. Spar's iteration ranges are more general than the rectangular iteration sets of Titanium, and can be implemented just as efficiently.",,,Advances in Parallel Computing,,,,,,,,,,,,,,,,,,,
Journal Article,"Cao Y,Huang Z,Ke C,Xie J,Wang J",,A topology-aware access control model for collaborative cyber-physical spaces: Specification and verification,Computers & Security,2019,87,,101478,,,,,2019,,0167-4048,https://www.sciencedirect.com/science/article/pii/S0167404818310861;http://dx.doi.org/10.1016/j.cose.2019.02.013,10.1016/j.cose.2019.02.013,"In collaborative environment, distributed multiple cyber-physical spaces interoperate with each other aiming to provide an intelligent spatial environment for their users to conduct their collaborative activities. Subjects and objects roam in the physical and cyber spaces among domains to support the completion of the activities. These dynamic behaviors bring great challenges to security issue. The actions of roaming subjects and roaming objects need to be specified and checked against security requirements of constituent domains. However, the existing inter-domain access control models was proposed for the traditional information system and focus on the cyber security. They cannot deal with the intricacies of cross-domain access requests in cyber-physical spaces. In this paper, we propose a formal inter-domain model to specify cyber-physical access control policies and a model checking approach to ensure security requirements hold in these policies. We first present a formal definition of the topology configuration to capture the environment characteristics of the cyber-physical spaces. It provides important contextual information for the access control system. Then, based on topology attributes defined in the topology configuration, a topology-aware inter-domain access control model TA-CPAC is proposed. It can adjust the permission assignment adaptively to react to the behaviors changes of subjects and objects. Next, the topology configuration and TA-CPAC model are formalized by the use of bigraphs and bigraphs reactive systems respectively, which allows us to utilize the model checking technology to reason about that whether the behaviors of roaming subjects and objects satisfy security requirements of all constituent domains. Finally, the effectiveness of our approach is evaluated by a collaborative scenario in a smart city.","Cross-domain authorization, Access control, Cyber-physical space, Bigraphs, Model checking",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Choi SH,Kim M,Lee JY",,Situation-dependent remote AR collaborations: Image-based collaboration using a 3D perspective map and live video-based collaboration with a synchronized VR mode,Computers in Industry,2018,101,,51-66,,,,,2018,,0166-3615,https://www.sciencedirect.com/science/article/pii/S0166361517305419;http://dx.doi.org/10.1016/j.compind.2018.06.006,10.1016/j.compind.2018.06.006,"The development of the Internet and smart devices has made it possible to support remote collaborations, which allows the expert and the worker to share information and co-work together in various and dispersed industrial fields. However, collaborations that exchange only audio and video information have limitations in the guided instruction of tasks, training of workers, and understanding of the situation. As augmented reality (AR) technology is considered to provide a more intuitive and immersive visualization and interaction in physical workspaces, many research works have been conducted to integrate AR into remote collaboration. Usually, there are two different types of AR collaboration depending on the shared media: 1) image-based AR collaboration and 2) live video-based AR collaboration. However, most of the previous research works cannot effectively support not only visual augmentation suitable for the situation but also accurate and effective annotations in the shared AR space. In this paper, we propose a situation-dependent remote AR collaboration approach that can selectively support either image- or live video-based AR collaborations: 1) image-based AR collaboration using a 3D perspective map and 2) live video-based AR collaboration with a synchronized VR mode. In particular, in the case of a certain situation with a limited network connection or limited HW/SW capabilities of the smart device, the image-based AR collaboration is more preferred. However, existing approaches cannot provide an integrated AR space from shared images. The proposed image-based AR collaboration enables to construct a 3D perspective map from the shared images taken in three or more directions, which can provide an integrated AR space for more effective AR annotations for remote collaboration. In the case of a normal situation without such problems, the live video-based AR collaboration should be supported. However, previous works have inherent problems such as inaccurate and mismatched AR annotations when the viewpoint of the live video is changed. The proposed live video-based AR collaboration with a synchronized VR mode can provide more effective and accurate 3D annotations by synchronizing virtual objects with physical objects. In particular, the VR mode can provide a complementing VR view of the AR-based physical space. In addition, through quantitative and qualitative experimental evaluation, we have conducted comparative studies with previous works. The results of this research show that the approach presented in this research has higher qualitative evaluation such as human behavior and task usability, as well as higher quantitative evaluation such as task performance and accuracy. Therefore, it is expected that the proposed approach can provide more user-oriented collaboration that considers user's situation and device performance in various industrial applications.","Remote collaboration, Augmented reality, Visual annotation, Image-based AR collaboration, Live video-based AR collaboration",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Kahn MG,Tu S,Fagan LM",,TQuery: A context-sensitive temporal query language,Computers and Biomedical Research,1991,24,5,401-419,,,,,1991,,0010-4809,https://www.sciencedirect.com/science/article/pii/001048099190016P;http://dx.doi.org/10.1016/0010-4809(91)90016-P,10.1016/0010-4809(91)90016-P,"Users of electronic medical databases request pertinent information by recasting their clinical questions into a formal database query language. Because the query language is the user's only access to the data, the query language must be powerful enough to enable users to express their data requirements. However, a competing need is for the query language to be restrictive enough so that queries can have unambiguous semantics and the query processor can generate correct answers. We describe a query language, called TQuery, that was designed specifically to formulate database queries that are dependent on temporal and contextual relationships. TQuery specifications express contextual constraints without the need to explicitly reference calendar dates. TQuery is the database query language used to retrieve patient data from an object-oriented electronic patient medical-record system called rhe temporal network (TNET). TNET and TQuery were developed to support the real-time temporal reasoning and representation needs of a LISP workstation-based medical expert system.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Kyas M,Fecher H,de Boer FS,Jacob J,Hooman J,van der Zwaag M,Arons T,Kugler H",,Formalizing UML Models and OCL Constraints in PVS,Electronic Notes in Theoretical Computer Science,2005,115,,39-47,,,,,2005,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066104053150;http://dx.doi.org/10.1016/j.entcs.2004.09.027,10.1016/j.entcs.2004.09.027,"The Object Constraint Language (OCL) is the established language for the specification of properties of objects and object structures in UML models. One reason that it is not yet widely adopted in industry is the lack of proper and integrated tool support for OCL. Therefore, we present a prototype tool, which analyzes the syntax and semantics of OCL constraints together with a UML model and translates them into the language of the theorem prover PVS. This defines a formal semantics for both UML and OCL, and enables the formal verification of systems modeled in UML. We handle the problematic fact that OCL is based on a three-valued logic, whereas PVS is only based on a two valued one.","OCL, PVS, Formal Verification, Formal Semantics, UML",Proceedings of the Second Workshop on Semantic Foundations of Engineering Design Languages (SFEDL 2004),,,,,,,,,,,,,,,,,,,,
Journal Article,"Garousi V,Fernandes JM",,Highly-cited papers in software engineering: The top-100,Information and Software Technology,2016,71,,108-128,,,,,2016,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584915001871;http://dx.doi.org/10.1016/j.infsof.2015.11.003,10.1016/j.infsof.2015.11.003,"Context According to the search reported in this paper, as of this writing (May 2015), a very large number of papers (more than 70,000) have been published in the area of Software Engineering (SE) since its inception in 1968. Citations are crucial in any research area to position the work and to build on the work of others. Identification and characterization of highly-cited papers are common and are regularly reported in various disciplines. Objective The objective of this study is to identify the papers in the area of SE that have influenced others the most as measured by citation count. Studying highly-cited SE papers helps researchers to see the type of approaches and research methods presented and applied in such papers, so as to be able to learn from them to write higher quality papers which will likely receive high citations. Method To achieve the above objective, we conducted a study, comprised of five research questions, to identify and classify the top-100 highly-cited SE papers in terms of two metrics: total number of citations and average annual number of citations. Results By total number of citations, the top paper is \A metrics suite for object-oriented design\""",cited 1817 times and published in 1994. By average annual number of citations,"the top paper is \""QoS-aware middleware for Web services composition\""","cited 154.2 times on average annually and published in 2004. Conclusion It is concluded that it is important to identify the highly-cited SE papers and also to characterize the overall citation landscape in the SE field. We hope that this paper will encourage further discussions in the SE community towards further analysis and formal characterization of the highly-cited SE papers.""","Software engineering, Highly-cited papers, Top cited, Most cited, Most frequently cited, Bibliometrics",,,,,,,,,,,,,,,,,,
Journal Article,"Tu ST,Wu TC,Srivastava HM",,Commutativity of the Leibniz rules in fractional calculus,Computers & Mathematics with Applications,2000,40,2,303-312,,,,,2000,,0898-1221,https://www.sciencedirect.com/science/article/pii/S0898122100001620;http://dx.doi.org/10.1016/S0898-1221(00)00162-0,10.1016/S0898-1221(00)00162-0,"Many earlier works on the subject of fractional calculus (that is, differentiation and integration of an arbitrary real or complex order) provide interesting accounts of the theory and applications of fractional calculus operators in several areas of mathematical analysis (such as ordinary and partial differential equations, integral equations, special functions, summation of series, etc.). The main object of this sequel to the aforementioned works is to examine rather closely the commutativity of the familiar Leibniz rules for fractional calculus and its various consequences. Some generalizations of a recent result of Tu, Chyan and Wu [1], involving fractional integration of powers of the logarithmic functions, are also considered.","Fractional calculus, Psi (or Digamma) function, Leibniz rules, Hypergeometric functions, Analytic continuation formulas, Hypergeometric transformations, Jacobi polynomials, Hypergeometric representations, Hypergeometric polynomials",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Corradini F,Muzi C,Re B,Rossi L,Tiezzi F",,Formalising and animating multiple instances in BPMN collaborations,Information Systems,2022,103,,101459,,,,,2022,,0306-4379,https://www.sciencedirect.com/science/article/pii/S0306437919305113;http://dx.doi.org/10.1016/j.is.2019.101459,10.1016/j.is.2019.101459,"The increasing adoption of modelling methods contributes to a better understanding of the flow of processes, from the internal behaviour of a single organisation to a wider perspective where several organisations exchange messages. In this regard, BPMN collaborations provide a suitable modelling abstraction. Even if this is a widely accepted notation, only a limited effort has been expended in formalising its semantics, especially for what it concerns the interplay among control features, data handling and exchange of messages in scenarios requiring multiple instances of interacting participants. In this paper, we face the problem of providing a formal semantics for BPMN collaborations including elements dealing with multiple instances, i.e., multi-instance pools and sequential/parallel multi-instance tasks. For an accurate account of these features, it is necessary to consider the data perspective of collaboration models, thus supporting data objects, data collections and data stores, and different execution modalities of tasks concerning atomicity and concurrency. Beyond defining a novel formalisation, we also provide a BPMN collaboration animator tool, named MIDA, faithfully implementing the formal semantics. MIDA can also support designers in debugging multi-instance collaboration models.","BPMN 2.0, Multiple instances, Data, Formal semantics, Animation",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Kumar K,List F,Pop IS,Radu FA",,Formal upscaling and numerical validation of unsaturated flow models in fractured porous media,Journal of Computational Physics,2020,407,,109138,,,,,2020,,0021-9991,https://www.sciencedirect.com/science/article/pii/S0021999119308435;http://dx.doi.org/10.1016/j.jcp.2019.109138,10.1016/j.jcp.2019.109138,"In this work, we consider a mathematical model for describing flow in an unsaturated porous medium containing a fracture. Both the flow in the fracture as well as in the matrix blocks are governed by Richards' equation coupled by natural transmission conditions. Using formal asymptotics, we derive upscaled models as the limit of vanishing ε, the ratio of the width and length of the fracture. Our results show that the ratio of porosities and permeabilities in the fracture to matrix determine, to the leading order of approximation, the appropriate effective model. In these models the fracture is a lower dimensional object for which different transversally averaged models are derived depending on the ratio of the porosities and permeabilities of the fracture and respective matrix blocks. We obtain a catalogue of effective models which are validated by numerical computations.","Richards' equation, Fractured porous media, Upscaling, Unsaturated flow in porous media",,,,,,,,,,,,,,,,,,,,,
Journal Article,Aouf MK,,Certain subclasses of p-valent starlike functions defined by using a differential operator,Applied Mathematics and Computation,2008,206,2,867-875,,,,,2008,,0096-3003,https://www.sciencedirect.com/science/article/pii/S009630030800708X;http://dx.doi.org/10.1016/j.amc.2008.09.048,10.1016/j.amc.2008.09.048,"The object of this paper is to introduce two interesting subclasses Tn∗(p,q,α,β,γ) and Cn(p,q,α,β,γ) of p-valent starlike functions defined by using a differential operator. We obtain coefficient estimates and distortion theorems for functions belonging to these classes. The radii of convexity for functions belonging to these classes are also determined. Finally, several applications involving an integral operator and certain fractional calculus operator are also considered.","p-Valent functions, Starlike, Convex, Differential operator, Fractional calculus","Includes Special issue on Modeling, Simulation, and Applied Optimization (ICMSAO-07",,,,,,,,,,,,,,,,,,,,
